##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	RS10252_S9_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70916612
Sequences flagged as poor quality	0
Sequence length	50
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
2109	38	0.01884743038912262
2109	39	0.08158140923200818
2109	40	0.056461003461521386
2109	41	0.022128941422806747
2109	42	0.033321947522402695
2109	43	0.0501862488474103
2109	44	-0.006257331081755524
2109	45	0.0186624383065066
2109	46	0.008297438644873978
2109	47	0.038068931602865064
2109	48	0.015134642788588337
2109	49	0.036638288332881075
2109	50	0.048103130343726264
2110	1	0.07955249817500487
2110	2	-0.01043185693594495
2110	3	0.03411020472135817
2110	4	0.03670190406737106
2110	5	0.036257439378005074
2110	6	0.05754257317810385
2110	7	0.04609775422917295
2110	8	0.03474514283197294
2110	9	0.015549836676228779
2110	10	0.020948024169392454
2110	11	-0.0015527004999498217
2110	12	0.0679607223789489
2110	13	0.035077745642858815
2110	14	0.06593324853158578
2110	15	0.01466158639282611
2110	16	0.026680969775711105
2110	17	0.026380189683948174
2110	18	0.007124134416514494
2110	19	0.060808650432278455
2110	20	0.06873931051954685
2110	21	0.04493469071076106
2110	22	0.023122711332568713
2110	23	0.05525474253558116
2110	24	0.0603884007800346
2110	25	0.06932424242504709
2110	26	0.0024370688913393224
2110	27	0.05911097196908344
2110	28	0.06634830871079345
2110	29	0.017697067450043846
2110	30	0.047163043437706165
2110	31	0.0549531404811745
2110	32	0.04664109188479415
2110	33	0.07639458873784832
2110	34	0.02052770760068512
2110	35	0.05939500554109145
2110	36	0.05962635445428788
2110	37	0.058270026663549856
2110	38	0.028592672653054763
2110	39	0.06310169445834646
2110	40	0.032279199824607474
2110	41	0.030748400025537137
2110	42	0.05442647249175536
2110	43	0.038239490920744856
2110	44	0.028977354518239906
2110	45	0.048829515083006925
2110	46	0.041154840430387196
2110	47	0.06872658555042221
2110	48	0.006916789537491752
2110	49	0.040887432926787426
2110	50	-0.0033596003089328974
2111	1	0.048517984889876686
2111	2	-0.025803108674658404
2111	3	0.007948428181130396
2111	4	0.030199512007072826
2111	5	0.0382230388228777
2111	6	0.03544024824958569
2111	7	0.06476537193189102
2111	8	-1.1710414300125649E-4
2111	9	0.015385855679539873
2111	10	0.023581223785335226
2111	11	0.023808574099469126
2111	12	0.05188633618626426
2111	13	-0.008662058310505927
2111	14	0.05634505318675309
2111	15	0.013527819050409562
2111	16	0.08879904249698711
2111	17	0.005759017401651079
2111	18	0.027775371570520235
2111	19	0.030591322384559305
2111	20	0.05267508718195302
2111	21	0.035330577420147335
2111	22	0.02228427096147101
2111	23	0.054180455401777294
2111	24	0.027961300318573024
2111	25	0.041507548684251105
2111	26	0.060117872109550774
2111	27	0.03458605498281031
2111	28	0.05311512576221844
2111	29	0.044948729610688076
2111	30	0.02560553440435598
2111	31	0.007170806600655055
2111	32	0.040694202159642145
2111	33	0.06568891364248941
2111	34	0.039105020663065204
2111	35	0.06429131760047113
2111	36	0.0057113156381731756
