Sample_Name	seqs	align.perc	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
RS102358	208809032	100	6350666112	6341719350		148619186	568709226	1637619158	3986771780	0	0	0	3640865	3366709	3487922	0.519561	0.480439		0.023435	0.089677	0.25823	0.628658	0.113113	0.112953	0	2.167799	4.468761	0.006796	66.87234
RS102360	25752364	100	807062864	805610782		20292932	62849583	275157155	447311112	0	0	0	443020	370548	375919	0.54454	0.45546		0.025189	0.078015	0.341551	0.555245	0.103204	0.103019	0	1.80459	3.575929	0.013782	0.516667
RS102377	57491725	100	1737296294	1734284572		31129810	72297827	624715547	1006141388	0	0	0	580195	551414	329935	0.512717	0.487283		0.01795	0.041687	0.360215	0.580148	0.059637	0.059534	0	1.752872	3.674695	0.066382	15
RS102407	25083079	100	797849801	796459793		20870101	62786391	294511881	418291420	0	0	0	461116	373708	353874	0.552351	0.447649		0.026204	0.078832	0.369776	0.525188	0.105035	0.104852	0	1.670577	3.263182	0.03417	2.35671
RS10252	114843735	100	3591110492	3583587918		63542951	161494691	1335785838	2022764438	0	0	0	1256881	1110510	814464	0.530914	0.469086		0.017732	0.045065	0.372751	0.564452	0.062797	0.062665	0	1.672355	3.325174	0.065833	31.463918
RS10257	100489592	100	3038410835	3032588038		50745000	143896562	866493525	1971452951	0	0	0	1043902	918121	819749	0.532054	0.467946		0.016733	0.04745	0.285727	0.650089	0.064183	0.06406	0	1.677858	3.424304	0.05399	15.327982
RS10260	101865934	100	3109307837	3103285775		57502399	131463253	1167104673	1747215450	0	0	0	1070511	978116	620349	0.52255	0.47745		0.01853	0.042363	0.376087	0.563021	0.060892	0.060774	0	1.546975	3.059929	0.08895	19.669048
RS10269	83691597	100	2515877256	2511128498		40335249	114945357	710647666	1645200226	0	0	0	831523	744393	647431	0.527644	0.472356		0.016063	0.045774	0.282999	0.655164	0.061837	0.06172	0	1.702817	3.50158	0.040354	11.367003
RS10270	80742095	100	2486580305	2481749586		43314645	100434876	926830889	1411169176	0	0	0	816665	747140	462455	0.522229	0.477771		0.017453	0.040469	0.373459	0.568619	0.057923	0.05781	0	1.593351	3.102092	0.082369	12.733333
RS10276	60331872	100	1868229910	1864621878		32195349	79371942	693880937	1059173650	0	0	0	628621	565330	384997	0.526505	0.473495		0.017266	0.042567	0.37213	0.568037	0.059834	0.059718	0	1.663499	3.147625	0.056558	7.860294
RS10283	88691547	100	2653889365	2649003112		41159713	117100291	734187466	1756555642	0	0	0	848406	760229	655672	0.527407	0.472593		0.015538	0.044205	0.277156	0.663101	0.059743	0.059633	0	1.680266	3.382178	0.034773	9.141414
RS10296	235175000	100	7357101033	7344320012		153603001	455951895	2537737003	4197028113	0	0	0	3363105	2794058	2523667	0.54621	0.45379		0.020915	0.062082	0.345537	0.571466	0.082997	0.082853	0	1.637986	3.20357	0.036605	39.536296
